Loading gnu/11.2.0
  Loading requirement: binutils/11.2.0
Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Baseline model: 494,032,768 params (all trainable)
data  train=54473  val=3000
epoch 1/3  step 10/13619  loss=1.5229  lr=2.00e-07
epoch 1/3  step 20/13619  loss=1.4794  lr=4.00e-07
epoch 1/3  step 30/13619  loss=1.4874  lr=6.00e-07
epoch 1/3  step 40/13619  loss=1.2498  lr=1.00e-06
epoch 1/3  step 50/13619  loss=1.1462  lr=1.20e-06
epoch 1/3  step 60/13619  loss=1.0480  lr=1.40e-06
epoch 1/3  step 70/13619  loss=0.9423  lr=1.60e-06
epoch 1/3  step 80/13619  loss=0.7945  lr=2.00e-06
epoch 1/3  step 90/13619  loss=0.6523  lr=2.20e-06
epoch 1/3  step 100/13619  loss=0.5217  lr=2.40e-06
epoch 1/3  step 110/13619  loss=0.4354  lr=2.60e-06
epoch 1/3  step 120/13619  loss=0.4361  lr=3.00e-06
epoch 1/3  step 130/13619  loss=0.2906  lr=3.20e-06
epoch 1/3  step 140/13619  loss=0.2960  lr=3.40e-06
epoch 1/3  step 150/13619  loss=0.3816  lr=3.60e-06
epoch 1/3  step 160/13619  loss=0.2195  lr=4.00e-06
epoch 1/3  step 170/13619  loss=0.2352  lr=4.20e-06
epoch 1/3  step 180/13619  loss=0.2776  lr=4.40e-06
epoch 1/3  step 190/13619  loss=0.2594  lr=4.60e-06
epoch 1/3  step 200/13619  loss=0.2504  lr=5.00e-06
epoch 1/3  step 210/13619  loss=0.2394  lr=5.20e-06
epoch 1/3  step 220/13619  loss=0.2625  lr=5.40e-06
epoch 1/3  step 230/13619  loss=0.2050  lr=5.60e-06
epoch 1/3  step 240/13619  loss=0.2376  lr=6.00e-06
epoch 1/3  step 250/13619  loss=0.2507  lr=6.20e-06
epoch 1/3  step 260/13619  loss=0.2802  lr=6.40e-06
epoch 1/3  step 270/13619  loss=0.2738  lr=6.60e-06
epoch 1/3  step 280/13619  loss=0.2311  lr=7.00e-06
epoch 1/3  step 290/13619  loss=0.2765  lr=7.20e-06
epoch 1/3  step 300/13619  loss=0.2956  lr=7.40e-06
epoch 1/3  step 310/13619  loss=0.2314  lr=7.60e-06
epoch 1/3  step 320/13619  loss=0.2212  lr=8.00e-06
epoch 1/3  step 330/13619  loss=0.1916  lr=8.20e-06
epoch 1/3  step 340/13619  loss=0.1948  lr=8.40e-06
epoch 1/3  step 350/13619  loss=0.3427  lr=8.60e-06
